Day,Month,Year,Month_Year,DXB_Daily_Avg_SR
1,Jan,2003,1-Jan-03,3.4
1,Feb,2003,1-Feb-03,3.5
1,Mar,2003,1-Mar-03,9.1
1,Apr,2003,1-Apr-03,48.9
1,May,2003,1-May-03,0.3
1,Jun,2003,1-Jun-03,0
1,Jul,2003,1-Jul-03,7.1
1,Aug,2003,1-Aug-03,2.5
1,Sep,2003,1-Sep-03,1.5
1,Oct,2003,1-Oct-03,5.7
1,Nov,2003,1-Nov-03,3
1,Dec,2003,1-Dec-03,7.5
1,Jan,2004,1-Jan-04,14.501
1,Feb,2004,1-Feb-04,0
1,Mar,2004,1-Mar-04,1.062333333
1,Apr,2004,1-Apr-04,2.15
1,May,2004,1-May-04,0.8
1,Jun,2004,1-Jun-04,2.36
1,Jul,2004,1-Jul-04,5.373461538
1,Aug,2004,1-Aug-04,3.55
1,Sep,2004,1-Sep-04,4.76173913
1,Oct,2004,1-Oct-04,4.577777778
1,Nov,2004,1-Nov-04,6.78275
1,Dec,2004,1-Dec-04,22.67027778
1,Jan,2005,1-Jan-05,19.3
1,Feb,2005,1-Feb-05,17.7
1,Mar,2005,1-Mar-05,6.9
1,Apr,2005,1-Apr-05,2.3
1,May,2005,1-May-05,2.2
1,Jun,2005,1-Jun-05,5.4
1,Jul,2005,1-Jul-05,9.4
1,Aug,2005,1-Aug-05,4.1
1,Sep,2005,1-Sep-05,5
1,Oct,2005,1-Oct-05,6.1
1,Nov,2005,1-Nov-05,6.2
1,Dec,2005,1-Dec-05,6.8
1,Jan,2006,1-Jan-06,0.8
1,Feb,2006,1-Feb-06,20.7
1,Mar,2006,1-Mar-06,8.3
1,Apr,2006,1-Apr-06,1
1,May,2006,1-May-06,0.2
1,Jun,2006,1-Jun-06,10.9
1,Jul,2006,1-Jul-06,2.1
1,Aug,2006,1-Aug-06,7.4
1,Sep,2006,1-Sep-06,11.3
1,Oct,2006,1-Oct-06,3.9
1,Nov,2006,1-Nov-06,8.5
1,Dec,2006,1-Dec-06,55
1,Jan,2007,1-Jan-07,1.6
1,Feb,2007,1-Feb-07,8.1
1,Mar,2007,1-Mar-07,18.8
1,Apr,2007,1-Apr-07,2.9
1,May,2007,1-May-07,1.3
1,Jun,2007,1-Jun-07,5.5
1,Jul,2007,1-Jul-07,2.5
1,Aug,2007,1-Aug-07,5.2
1,Sep,2007,1-Sep-07,4.2
1,Oct,2007,1-Oct-07,7
1,Nov,2007,1-Nov-07,0.6
1,Dec,2007,1-Dec-07,1.8
1,Jan,2008,1-Jan-08,45.8
1,Feb,2008,1-Feb-08,0.3
1,Mar,2008,1-Mar-08,0
1,Apr,2008,1-Apr-08,0.3
1,May,2008,1-May-08,1.3
1,Jun,2008,1-Jun-08,0
1,Jul,2008,1-Jul-08,6.7
1,Aug,2008,1-Aug-08,9.5
1,Sep,2008,1-Sep-08,7
1,Oct,2008,1-Oct-08,0
1,Nov,2008,1-Nov-08,4.2
1,Dec,2008,1-Dec-08,8.5
1,Jan,2009,1-Jan-09,19.6
1,Feb,2009,1-Feb-09,1.2
1,Mar,2009,1-Mar-09,31
1,Apr,2009,1-Apr-09,10.7
1,May,2009,1-May-09,0.8
1,Jun,2009,1-Jun-09,1.2
1,Jul,2009,1-Jul-09,4
1,Aug,2009,1-Aug-09,0.8
1,Sep,2009,1-Sep-09,4.7
1,Oct,2009,1-Oct-09,1.6
1,Nov,2009,1-Nov-09,2.9
1,Dec,2009,1-Dec-09,32.9
1,Jan,2010,1-Jan-10,3.7
1,Feb,2010,1-Feb-10,12.2
1,Mar,2010,1-Mar-10,16.7
1,Apr,2010,1-Apr-10,1.5
1,May,2010,1-May-10,1.2
1,Jun,2010,1-Jun-10,1.6
1,Jul,2010,1-Jul-10,3.8
1,Aug,2010,1-Aug-10,2.4
1,Sep,2010,1-Sep-10,1.4
1,Oct,2010,1-Oct-10,5.1
1,Nov,2010,1-Nov-10,7.9
1,Dec,2010,1-Dec-10,1.8
1,Jan,2011,1-Jan-11,11.1
1,Feb,2011,1-Feb-11,1.5
1,Mar,2011,1-Mar-11,0.3
1,Apr,2011,1-Apr-11,6.9
1,May,2011,1-May-11,1.2
1,Jun,2011,1-Jun-11,0.3
1,Jul,2011,1-Jul-11,3.6
1,Aug,2011,1-Aug-11,10.8
1,Sep,2011,1-Sep-11,5.7
1,Oct,2011,1-Oct-11,8.8
1,Nov,2011,1-Nov-11,4.4
1,Dec,2011,1-Dec-11,0.6
1,Jan,2012,1-Jan-12,1.7
1,Feb,2012,1-Feb-12,1.6
1,Mar,2012,1-Mar-12,0.9
1,Apr,2012,1-Apr-12,4.9
1,May,2012,1-May-12,3
1,Jun,2012,1-Jun-12,2
1,Jul,2012,1-Jul-12,2.3
1,Aug,2012,1-Aug-12,4.3
1,Sep,2012,1-Sep-12,20.6
1,Oct,2012,1-Oct-12,8.2
1,Nov,2012,1-Nov-12,5.9
1,Dec,2012,1-Dec-12,3.8
1,Jan,2013,1-Jan-13,1.5
1,Feb,2013,1-Feb-13,3.2
1,Mar,2013,1-Mar-13,2.1
1,Apr,2013,1-Apr-13,19
1,May,2013,1-May-13,3.4
1,Jun,2013,1-Jun-13,1.4
1,Jul,2013,1-Jul-13,4.9
1,Aug,2013,1-Aug-13,11.4
1,Sep,2013,1-Sep-13,7.1
1,Oct,2013,1-Oct-13,6.2
1,Nov,2013,1-Nov-13,40.1
1,Dec,2013,1-Dec-13,5.7
1,Jan,2014,1-Jan-14,10.7
1,Feb,2014,1-Feb-14,3.6
1,Mar,2014,1-Mar-14,2.4
1,Apr,2014,1-Apr-14,6.4
1,May,2014,1-May-14,2.1
1,Jun,2014,1-Jun-14,2.6
1,Jul,2014,1-Jul-14,6.8
1,Aug,2014,1-Aug-14,8
1,Sep,2014,1-Sep-14,5.7
1,Oct,2014,1-Oct-14,3
1,Nov,2014,1-Nov-14,6.3
1,Dec,2014,1-Dec-14,1.7
1,Jan,2015,1-Jan-15,14.3
1,Feb,2015,1-Feb-15,1
1,Mar,2015,1-Mar-15,2.8
1,Apr,2015,1-Apr-15,0
1,May,2015,1-May-15,1.1
1,Jun,2015,1-Jun-15,3.4
1,Jul,2015,1-Jul-15,4.2
1,Aug,2015,1-Aug-15,3.3
1,Sep,2015,1-Sep-15,6
1,Oct,2015,1-Oct-15,4.5
1,Nov,2015,1-Nov-15,5.3
1,Dec,2015,1-Dec-15,3.2
1,Jan,2016,1-Jan-16,8.2
1,Feb,2016,1-Feb-16,5.9
1,Mar,2016,1-Mar-16,46
1,Apr,2016,1-Apr-16,4.1
1,May,2016,1-May-16,0.5
1,Jun,2016,1-Jun-16,1.1
1,Jul,2016,1-Jul-16,4.8
1,Aug,2016,1-Aug-16,4.6
1,Sep,2016,1-Sep-16,3.3
1,Oct,2016,1-Oct-16,13.7
1,Nov,2016,1-Nov-16,3.6
1,Dec,2016,1-Dec-16,0
1,Jan,2017,1-Jan-17,8.6
1,Feb,2017,1-Feb-17,18.6
1,Mar,2017,1-Mar-17,34
1,Apr,2017,1-Apr-17,0.7
1,May,2017,1-May-17,7.6
1,Jun,2017,1-Jun-17,3
1,Jul,2017,1-Jul-17,5.8
1,Aug,2017,1-Aug-17,4.6
1,Sep,2017,1-Sep-17,5.5
1,Oct,2017,1-Oct-17,3.6
1,Nov,2017,1-Nov-17,4.6
1,Dec,2017,1-Dec-17,11.1
1,Jan,2018,1-Jan-18,3.8
1,Feb,2018,1-Feb-18,5.6
1,Mar,2018,1-Mar-18,1.5
1,Apr,2018,1-Apr-18,2.5
1,May,2018,1-May-18,3
1,Jun,2018,1-Jun-18,1.1
1,Jul,2018,1-Jul-18,2.9
1,Aug,2018,1-Aug-18,3.7
1,Sep,2018,1-Sep-18,2.3
1,Oct,2018,1-Oct-18,9.7
1,Nov,2018,1-Nov-18,8.9
1,Dec,2018,1-Dec-18,1.4
1,Jan,2019,1-Jan-19,0.2
1,Feb,2019,1-Feb-19,9
1,Mar,2019,1-Mar-19,11.6
1,Apr,2019,1-Apr-19,15.6
1,May,2019,1-May-19,5.2
1,Jun,2019,1-Jun-19,4
1,Jul,2019,1-Jul-19,7
1,Aug,2019,1-Aug-19,5.3
1,Sep,2019,1-Sep-19,3.4
1,Oct,2019,1-Oct-19,12.9
1,Nov,2019,1-Nov-19,16.4
1,Dec,2019,1-Dec-19,10.5
